symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
300896.SZ,爱美客,145.06,16030.97,232.54525082,0.0,2,193.90046216415516,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,1,False,True,-70.66873224890227,-107.61276730675176
301155.SZ,海力风电,77.13,26466.18,204.13364634,136.86501408113432,3,136.86501408113432,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-89.54061861481027,-114.74759955723758
301301.SZ,川宁生物,10.32,98269.11,101.41372152,149.07564661842332,2,149.07564661842332,200.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,1,False,True,-88.64939400537065,-139.5248978461117
600038.SH,中直股份,35.11,48944.58,171.84442038,176.11843139424386,3,176.11843139424386,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-121.17452440033009,-161.36992897556283
600048.SH,保利发展,6.59,951534.12,627.06098508,123.74255941884651,3,123.74255941884651,200.0,4,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,1,1,True,True,-143.79296401132174,-157.08061002178664
600131.SH,国网信通,16.34,119275.31,194.89585653999998,143.2977571677755,4,143.2977571677755,182.7109712867251,3,182.7109712867251,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,0,1,False,True,-92.79017135467133,-165.11095859071156
600153.SH,建发股份,9.63,281913.6,271.48279679999996,0.16193527751120848,0,0.0,194.84828050368137,2,194.84828050368137,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,1,True,True,-137.88959054797354,-225.169836956522
600155.SH,华创云信,6.9,250108.37,172.5747753,129.56688922450195,3,129.56688922450195,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,0,1,True,True,-78.69641294838135,-222.06747137109193
600161.SH,天坛生物,17.13,89391.44,153.12753672,117.14667751120923,3,117.14667751120923,200.0,3,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,0,1,False,True,-106.32862288722701,-158.96433977540764
600383.SH,金地集团,3.33,1076476.64,358.46672112,0.1649951341161525,0,0.0,188.4700931470761,2,188.4700931470761,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,2,2,True,True,-136.56957928802618,-204.87990435822206
600398.SH,海澜之家,6.2,225163.53,139.6013886,0.0,1,106.44470116389883,0.0,2,182.84564767197335,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,1,True,True,-26.116838487972917,-88.62973760932965
600416.SH,湘电股份,13.61,102445.01,139.42765861,0.0,3,167.62059455169324,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,1,1,True,True,-64.10932630064767,-123.78087685716883
600436.SH,片仔癀,169.23,26510.84,448.64294531999997,91.06251126144686,0,0.0,191.31883461851166,3,191.31883461851166,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,0,True,False,-180.1003344481608,-108.95074178656255
600600.SH,青岛啤酒,64.2,26214.09,168.2944578,0.0,0,0.0,0.0,3,148.3542815113676,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,1,1,1,True,True,-67.28522929972983,-137.33051179559553
