symbol,company_name,signals,price,volume,turnover,pink_daily,blue_daily,pink_weekly,blue_weekly,lired_daily,lired_weekly,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
HKND,Humankind US Stock ETF,"日BLUE>150(3天), , 周BLUE>150(2周)",29.6281,34.0,1007.3554,39.8840098176009,0.0,23.695297482390643,0.0,0,0,-0.8296191878957373,-0.7725708490569052,-0.11409667767766418,-0.3357252614603252,0.28905463414634147,-0.012153805875751211,-0.013530417733224182,0.0001514273043220268
HQGO,Hartford US Quality Growth ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",46.2139,412.0,19040.126800000002,35.84626804759477,0.0,21.276808717233102,0.0,0,0,-1.3073639798334185,-1.4774842728791593,0.34024058609148167,0.04764044081615658,0.4501017073170732,-0.019573996316631148,-0.0221500598277463,0.00028336698622266653
HRTS,"Tema ETF Trust Tema GLP-1, Obesity & Cardiometabolic ETF","日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",27.4699,3635.0,99853.08649999999,41.28371079622396,0.0,19.276565517334838,0.0,0,0,-0.8146259700953173,-0.8238850980987723,0.018518256006909928,-0.23698121902735889,0.2682190243902439,-0.011329886105405196,-0.013258777958970227,0.00021217810389215344
HWH,HWH International Inc. Common Stock,"日PINK上穿10, 周BLUE>150(3周), 倍量柱(1次)",1.05,5361.0,5629.05,9.400051437115579,0.0,1.6767910696928907,0.0,0,0,-0.16360966598488003,-0.18052489928050142,0.03383046659124278,0.015374994122455011,0.01026829268292683,-0.0026273072980320493,-0.0028213426033553055,2.1343883585558184e-05
IBAT,iShares Energy Storage & Materials ETF,"日BLUE>150(4天), , 周BLUE>150(4周), 倍量柱(2次)",19.91,684.0,13618.44,40.306010716002014,0.0,16.368743248135708,0.0,0,0,-0.7593990481050774,-0.7525701692211803,-0.01365775776779432,-0.30616250433115805,0.19465853658536586,-0.010400875813788318,-0.012310502993419112,0.00021005898975938727
IART,Integra LifeSciences Holdings,"日BLUE>150(5天), 周PINK上穿10",15.68,116190.0,1821859.2,1.328566424912494,199.99999999999997,2.703959917004066,74.17715429050976,0,0,-2.3495404173939143,-1.635996924507729,-1.4270869857723705,-1.4201051605453712,0.15309756097560975,-0.03726173983496728,-0.03376665071881444,-0.00038445980277681207
IBHK,iShares iBonds 2031 Term High Yield and Income ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(2次)",24.82,9434.0,234151.88,60.951546369996215,0.0,31.87262744378847,0.0,0,0,-0.25701810200502706,-0.2406660512723381,-0.032704101465377944,-0.12378856372276702,0.2421951219512195,-0.0034933871192974475,-0.00401625208171944,5.7515145866419164e-05
ILIT,iShares Lithium Miners and Producers ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(2次)",7.25,1720.0,12470.0,31.163100768579024,0.0,11.967735273972744,0.0,0,0,-0.5102565680123927,-0.5103293039816579,0.00014547193853031715,-0.13799380691366658,0.07065853658536585,-0.007402465569049194,-0.008259913897436195,9.431931612257021e-05
INCE,Franklin Income Equity Focus ETF,"日BLUE>150(3天), , 周BLUE>150(2周)",52.77,5283.0,278783.91000000003,36.69010802664738,0.0,25.591457154126672,0.0,0,0,-1.365192923860775,-1.3139684818060173,-0.10244888410951525,-0.5249378670731112,0.514219512195122,-0.01947115520745546,-0.02198374215565048,0.00027638456430145215
INBS,Intelligent Bio Solutions Inc. Common Stock,"日BLUE>150(3天), 周PINK上穿10",1.18,8942.0,10551.56,7.513005000303399,0.0,6.927715489017856,0.0,0,0,-0.2502979712962574,-0.23839682661176875,-0.023802289368977325,-0.06817431235164405,0.011616341463414634,-0.0035530174681879124,-0.0037209278276512893,1.8470139540971457e-05
