symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
BLCO,12.505,168757.0,211.0306285,0.0,0.0,0,0.0,206.90538263387165,3,0.0,0,0.0,0,Bausch + Lomb Corporation
QETH,16.9899,102780.0,174.62219219999997,0.0,0.0,0,0.0,231.5575401095245,3,0.0,0,0.0,0,Invesco Galaxy Ethereum ETF
BOIL,48.22,1254368.0,6048.5624960000005,309.09637991757734,309.09637991757734,4,0.0,0.0,0,0.0,0,0.0,0,ProShares Ultra Bloomberg Natural Gas
HCM,15.55,83659.0,130.089745,0.0,0.0,0,0.0,207.09484049990783,2,0.0,0,0.0,0,HUTCHMED (China) Limited American Depositary Shares
CPT,113.32,177597.0,2012.529204,0.0,0.0,0,0.0,213.04718586397038,2,0.0,0,0.0,0,Yahoo Finance
FCEL,3.93,313723.0,123.29313900000001,0.0,0.0,0,0.0,232.4199981284496,3,0.0,0,0.0,0,FuelCell Energy Inc  NEW (DE)
RNA,29.24,675568.0,1975.360832,0.0,0.0,0,0.0,211.2403214342559,2,0.0,0,0.0,0,"Avidity Biosciences, Inc. Common Stock"
CAH,133.39,445013.0,5936.028406999999,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Yahoo Finance
PGX,10.915,2412110.0,2632.818065,0.0,0.0,0,0.0,253.87717483389736,3,0.0,0,0.0,0,Invesco Preferred ETF
TYL,563.255,53768.0,3028.509484,0.0,0.0,0,0.0,224.98048741900575,2,0.0,0,0.0,0,"Tyler Technologies, Inc."
CEMB,44.2899,123965.0,549.0397453500001,0.0,0.0,0,0.0,192.3850726757783,2,0.0,0,0.0,0,iShares J.P. Morgan EM Corporate Bond ETF
JQC,5.045,278906.0,140.708077,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Nuveen Credit Strategies Income Fund
COTY,4.76,1100090.0,523.64284,0.0,301.2908923746022,2,0.0,227.87906055540552,3,0.0,0,0.0,0,COTY INC
CONY,7.6988,1924655.0,1481.7533914,0.0,0.0,0,0.0,341.31376598581943,2,0.0,0,0.0,0,YieldMax COIN Option Income Strategy ETF
MNMD,5.8,436728.0,253.30223999999998,0.0,0.0,0,0.0,177.33640398888375,2,0.0,0,0.0,0,Mind Medicine (MindMed) Inc. Common Shares
CSIQ,7.78,1084818.0,843.9884040000001,0.0,0.0,0,0.0,238.24516194521524,3,0.0,0,0.0,0,Canadian Solar Inc. Common Shares (ON)
MAC,14.29,333201.0,476.144229,0.0,0.0,0,0.0,206.38084066220327,2,0.0,0,0.0,0,The Macerich Company
SHG,34.17,35566.0,121.529022,0.0,0.0,0,0.0,251.46616989937294,2,-208.14770891419687,2,0.0,0,Shinhan Financial Group Co Ltd
BDN,3.865,868802.0,335.791973,0.0,0.0,0,0.0,324.67936663208127,3,0.0,0,0.0,0,Brandywine Realty Trust
MODG,6.435,530447.0,341.3426445,0.0,0.0,0,0.0,331.75015282454035,2,0.0,0,0.0,0,Topgolf Callaway Brands Corp.
GDXD,3.8512,7697922.0,2964.62372064,0.0,110.73893067003388,0,0.0,212.9488171982522,3,0.0,0,0.0,0,MicroSectors Gold Miners -3x Inverse Leveraged ETN
SKM,23.06,77360.0,178.39216,0.0,0.0,0,0.0,201.2086156793527,2,-265.3885459982815,3,0.0,0,"SK Telecom Co., Ltd.  American Depositary Shares (Each representing 5/9th of a Ordinary Share of SK Telecom Co., LTD.)"
MEDP,272.2419,877256.0,23882.58402264,149.93544578561145,149.93544578561145,0,270.6441602820334,287.09638233552784,4,0.0,0,0.0,0,"Medpace Holdings, Inc. Common Stock"
ASO,36.715,242816.0,891.4989440000002,0.0,0.0,0,0.0,172.11555927512134,2,0.0,0,0.0,0,"Academy Sports and Outdoors, Inc."
CASY,461.15,107251.0,4945.879865,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Casey's General Stores Inc
ST,19.14,405821.0,776.741394,0.0,0.0,0,0.0,159.15659374175408,2,0.0,0,0.0,0,Sensata Technologies Holding plc
ZIM,12.99,1808541.0,2349.294759,0.0,0.0,0,0.0,222.7042382566093,3,0.0,0,0.0,0,ZIM Integrated Shipping Services Ltd.
