code,name,industry,area,source
001382.SZ,新亚电缆,电气设备,广东,tushare
001387.SZ,雪祺电气,家用电器,安徽,tushare
001388.SZ,信通电子,电气设备,山东,tushare
001389.SZ,广合科技,元器件,广东,tushare
001390.SZ,古麒绒材,纺织,安徽,tushare
001391.SZ,国货航,仓储物流,北京,tushare
001395.SZ,亚联机械,专用机械,吉林,tushare
001400.SZ,江顺科技,专用机械,江苏,tushare
001696.SZ,宗申动力,摩托车,重庆,tushare
001872.SZ,招商港口,港口,深圳,tushare
001896.SZ,豫能控股,火力发电,河南,tushare
001914.SZ,招商积余,房产服务,深圳,tushare
001965.SZ,招商公路,路桥,天津,tushare
001979.SZ,招商蛇口,全国地产,深圳,tushare
002001.SZ,新和成,化学制药,浙江,tushare
002003.SZ,伟星股份,服饰,浙江,tushare
002004.SZ,华邦健康,农药化肥,重庆,tushare
002005.SZ,ST德豪,家用电器,安徽,tushare
002006.SZ,精工科技,专用机械,浙江,tushare
002007.SZ,华兰生物,生物制药,河南,tushare
002008.SZ,大族激光,专用机械,深圳,tushare
002009.SZ,天奇股份,工程机械,江苏,tushare
002010.SZ,传化智联,仓储物流,浙江,tushare
002011.SZ,盾安环境,家用电器,浙江,tushare
002012.SZ,凯恩股份,造纸,浙江,tushare
002014.SZ,永新股份,塑料,安徽,tushare
002015.SZ,协鑫能科,新型电力,江苏,tushare
002016.SZ,世荣兆业,区域地产,广东,tushare
002017.SZ,东信和平,通信设备,广东,tushare
002019.SZ,亿帆医药,化学制药,浙江,tushare
002020.SZ,京新药业,化学制药,浙江,tushare
002021.SZ,中捷资源,纺织机械,浙江,tushare
002022.SZ,科华生物,医疗保健,上海,tushare
002023.SZ,海特高新,航空,四川,tushare
002024.SZ,ST易购,电器连锁,江苏,tushare
002025.SZ,航天电器,元器件,贵州,tushare
002026.SZ,山东威达,机械基件,山东,tushare
002027.SZ,分众传媒,广告包装,上海,tushare
002028.SZ,思源电气,电气设备,上海,tushare
002029.SZ,七匹狼,服饰,福建,tushare
002030.SZ,达安基因,医疗保健,广东,tushare
002031.SZ,巨轮智能,汽车配件,广东,tushare
002032.SZ,苏泊尔,家用电器,浙江,tushare
002033.SZ,丽江股份,旅游景点,云南,tushare
